img_name,id,class_name,x,y,width,height
Capture 4_15.PNG,3,Pedestrian go 1 sec,0.416533,0.317964,0.040128,0.020359
Capture 4_2.PNG,3,Pedestrian go 1 sec,0.416533,0.317964,0.040128,0.020359
Capture 4_3.PNG,3,Pedestrian go 1 sec,0.416533,0.317964,0.040128,0.020359
Capture 4_5.PNG,3,Pedestrian go 1 sec,0.416533,0.317964,0.040128,0.020359
Capture 4_6.PNG,3,Pedestrian go 1 sec,0.416533,0.317964,0.040128,0.020359
Capture 4_8.PNG,3,Pedestrian go 1 sec,0.416533,0.317964,0.040128,0.020359
Capture 4_9.PNG,3,Pedestrian go 1 sec,0.416533,0.317964,0.040128,0.020359
Capture 5.PNG,4,Pedestrian go 2 sec,0.425837,0.312201,0.038278,0.023923
Capture 5_1.PNG,4,Pedestrian go 2 sec,0.425837,0.312201,0.038278,0.023923
Capture 5_10.PNG,4,Pedestrian go 2 sec,0.425837,0.312201,0.038278,0.023923
Capture 5_11.PNG,4,Pedestrian go 2 sec,0.425837,0.312201,0.038278,0.023923
Capture 5_15.PNG,4,Pedestrian go 2 sec,0.425837,0.312201,0.038278,0.023923
Capture 5_2.PNG,4,Pedestrian go 2 sec,0.425837,0.312201,0.038278,0.023923
Capture 5_3.PNG,4,Pedestrian go 2 sec,0.425837,0.312201,0.038278,0.023923
Capture 5_5.PNG,4,Pedestrian go 2 sec,0.425837,0.312201,0.038278,0.023923
Capture 5_6.PNG,4,Pedestrian go 2 sec,0.425837,0.312201,0.038278,0.023923
Capture 5_8.PNG,4,Pedestrian go 2 sec,0.425837,0.312201,0.038278,0.023923
Capture 5_9.PNG,4,Pedestrian go 2 sec,0.425837,0.312201,0.038278,0.023923
Capture 6.PNG,4,Pedestrian go 2 sec,0.428914,0.315256,0.039936,0.022646
Capture 6_1.PNG,4,Pedestrian go 2 sec,0.428914,0.315256,0.039936,0.022646
Capture 6_10.PNG,4,Pedestrian go 2 sec,0.428914,0.315256,0.039936,0.022646
Capture 6_11.PNG,4,Pedestrian go 2 sec,0.428914,0.315256,0.039936,0.022646
Capture 6_15.PNG,4,Pedestrian go 2 sec,0.428914,0.315256,0.039936,0.022646
Capture 6_2.PNG,4,Pedestrian go 2 sec,0.428914,0.315256,0.039936,0.022646
Capture 6_3.PNG,4,Pedestrian go 2 sec,0.428914,0.315256,0.039936,0.022646
Capture 6_5.PNG,4,Pedestrian go 2 sec,0.428914,0.315256,0.039936,0.022646
Capture 6_6.PNG,4,Pedestrian go 2 sec,0.428914,0.315256,0.039936,0.022646
Capture 6_8.PNG,4,Pedestrian go 2 sec,0.428914,0.315256,0.039936,0.022646
Capture 6_9.PNG,4,Pedestrian go 2 sec,0.428914,0.315256,0.039936,0.022646
Capture 7.PNG,0,Pedestrian stop,0.330952,0.326397,0.030159,0.022592
Capture 7_1.PNG,0,Pedestrian stop,0.330952,0.326397,0.030159,0.022592
Capture 7_10.PNG,0,Pedestrian stop,0.330952,0.326397,0.030159,0.022592
Capture 7_11.PNG,0,Pedestrian stop,0.330952,0.326397,0.030159,0.022592
Capture 7_15.PNG,0,Pedestrian stop,0.330952,0.326397,0.030159,0.022592
Capture 7_2.PNG,0,Pedestrian stop,0.330952,0.326397,0.030159,0.022592
Capture 7_3.PNG,0,Pedestrian stop,0.330952,0.326397,0.030159,0.022592
Capture 7_5.PNG,0,Pedestrian stop,0.330952,0.326397,0.030159,0.022592
Capture 7_6.PNG,0,Pedestrian stop,0.330952,0.326397,0.030159,0.022592
Capture 7_8.PNG,0,Pedestrian stop,0.330952,0.326397,0.030159,0.022592
Capture 7_9.PNG,0,Pedestrian stop,0.330952,0.326397,0.030159,0.022592
Capture 8.PNG,5,Pedestrian go 4 sec,0.645600,0.318996,0.027200,0.014337
Capture 8.PNG,1,Green light (Go),0.623200,0.307049,0.020800,0.045400
Capture 8.PNG,1,Green light (Go),0.283200,0.203106,0.064000,0.023895
Capture 8_1.PNG,5,Pedestrian go 4 sec,0.645600,0.318996,0.027200,0.014337
Capture 8_1.PNG,1,Green light (Go),0.623200,0.307049,0.020800,0.045400
Capture 8_1.PNG,1,Green light (Go),0.283200,0.203106,0.064000,0.023895
Capture 8_10.PNG,5,Pedestrian go 4 sec,0.645600,0.318996,0.027200,0.014337
Capture 8_10.PNG,1,Green light (Go),0.623200,0.307049,0.020800,0.045400
Capture 8_10.PNG,1,Green light (Go),0.283200,0.203106,0.064000,0.023895
Capture 8_11.PNG,5,Pedestrian go 4 sec,0.645600,0.318996,0.027200,0.014337
Capture 8_11.PNG,1,Green light (Go),0.623200,0.307049,0.020800,0.045400
Capture 8_11.PNG,1,Green light (Go),0.283200,0.203106,0.064000,0.023895
Capture 8_15.PNG,5,Pedestrian go 4 sec,0.645600,0.318996,0.027200,0.014337
Capture 8_15.PNG,1,Green light (Go),0.623200,0.307049,0.020800,0.045400
Capture 8_15.PNG,1,Green light (Go),0.283200,0.203106,0.064000,0.023895
Capture 8_2.PNG,5,Pedestrian go 4 sec,0.645600,0.318996,0.027200,0.014337
Capture 8_2.PNG,1,Green light (Go),0.623200,0.307049,0.020800,0.045400
Capture 8_2.PNG,1,Green light (Go),0.283200,0.203106,0.064000,0.023895
Capture 8_3.PNG,5,Pedestrian go 4 sec,0.645600,0.318996,0.027200,0.014337
Capture 8_3.PNG,1,Green light (Go),0.623200,0.307049,0.020800,0.045400
Capture 8_3.PNG,1,Green light (Go),0.283200,0.203106,0.064000,0.023895
Capture 8_5.PNG,5,Pedestrian go 4 sec,0.645600,0.318996,0.027200,0.014337
Capture 8_5.PNG,1,Green light (Go),0.623200,0.307049,0.020800,0.045400
Capture 8_5.PNG,1,Green light (Go),0.283200,0.203106,0.064000,0.023895
Capture 8_6.PNG,5,Pedestrian go 4 sec,0.645600,0.318996,0.027200,0.014337
Capture 8_6.PNG,1,Green light (Go),0.623200,0.307049,0.020800,0.045400
Capture 8_6.PNG,1,Green light (Go),0.283200,0.203106,0.064000,0.023895
Capture 8_8.PNG,5,Pedestrian go 4 sec,0.645600,0.318996,0.027200,0.014337
Capture 8_8.PNG,1,Green light (Go),0.623200,0.307049,0.020800,0.045400
Capture 8_8.PNG,1,Green light (Go),0.283200,0.203106,0.064000,0.023895
Capture 8_9.PNG,5,Pedestrian go 4 sec,0.645600,0.318996,0.027200,0.014337
Capture 8_9.PNG,1,Green light (Go),0.623200,0.307049,0.020800,0.045400
Capture 8_9.PNG,1,Green light (Go),0.283200,0.203106,0.064000,0.023895
Capture 9.PNG,1,Green light (Go),0.257962,0.241647,0.063694,0.020286
Capture 9.PNG,1,Green light (Go),0.574841,0.342482,0.019108,0.040573
Capture 9.PNG,6,Pedestrian go 6 sec,0.596338,0.354415,0.020701,0.014320
Capture 9_1.PNG,1,Green light (Go),0.257962,0.241647,0.063694,0.020286
Capture 9_1.PNG,1,Green light (Go),0.574841,0.342482,0.019108,0.040573
Capture 9_1.PNG,6,Pedestrian go 6 sec,0.596338,0.354415,0.020701,0.014320
Capture 9_10.PNG,1,Green light (Go),0.257962,0.241647,0.063694,0.020286
Capture 9_10.PNG,1,Green light (Go),0.574841,0.342482,0.019108,0.040573
Capture 9_10.PNG,6,Pedestrian go 6 sec,0.596338,0.354415,0.020701,0.014320
Capture 9_11.PNG,1,Green light (Go),0.257962,0.241647,0.063694,0.020286
Capture 9_11.PNG,1,Green light (Go),0.574841,0.342482,0.019108,0.040573
Capture 9_11.PNG,6,Pedestrian go 6 sec,0.596338,0.354415,0.020701,0.014320
Capture 9_15.PNG,1,Green light (Go),0.257962,0.241647,0.063694,0.020286
Capture 9_15.PNG,1,Green light (Go),0.574841,0.342482,0.019108,0.040573
Capture 9_15.PNG,6,Pedestrian go 6 sec,0.596338,0.354415,0.020701,0.014320
Capture 9_2.PNG,1,Green light (Go),0.257962,0.241647,0.063694,0.020286
Capture 9_2.PNG,1,Green light (Go),0.574841,0.342482,0.019108,0.040573
Capture 9_2.PNG,6,Pedestrian go 6 sec,0.596338,0.354415,0.020701,0.014320
Capture 9_3.PNG,1,Green light (Go),0.257962,0.241647,0.063694,0.020286
Capture 9_3.PNG,1,Green light (Go),0.574841,0.342482,0.019108,0.040573
Capture 9_3.PNG,6,Pedestrian go 6 sec,0.596338,0.354415,0.020701,0.014320
Capture 9_5.PNG,1,Green light (Go),0.257962,0.241647,0.063694,0.020286
Capture 9_5.PNG,1,Green light (Go),0.574841,0.342482,0.019108,0.040573
Capture 9_5.PNG,6,Pedestrian go 6 sec,0.596338,0.354415,0.020701,0.014320
Capture 9_6.PNG,1,Green light (Go),0.257962,0.241647,0.063694,0.020286
Capture 9_6.PNG,1,Green light (Go),0.574841,0.342482,0.019108,0.040573
Capture 9_6.PNG,6,Pedestrian go 6 sec,0.596338,0.354415,0.020701,0.014320
Capture 9_8.PNG,1,Green light (Go),0.257962,0.241647,0.063694,0.020286
Capture 9_8.PNG,1,Green light (Go),0.574841,0.342482,0.019108,0.040573
Capture 9_8.PNG,6,Pedestrian go 6 sec,0.596338,0.354415,0.020701,0.014320
Capture 9_9.PNG,1,Green light (Go),0.257962,0.241647,0.063694,0.020286
Capture 9_9.PNG,1,Green light (Go),0.574841,0.342482,0.019108,0.040573
Capture 9_9.PNG,6,Pedestrian go 6 sec,0.596338,0.354415,0.020701,0.014320
frame_1.jpg,7,Red light (Stop),0.315365,0.280556,0.076563,0.053704
frame_1.jpg,8,Turning left mand.,0.385417,0.290741,0.027083,0.050000
frame_1.jpg,9,Straight ahead mand.,0.535417,0.300463,0.029167,0.056481
frame_1.jpg,7,Red light (Stop),0.620313,0.304167,0.062500,0.045370
frame_1.jpg,10,Straight ahead or turning right mand.,0.681250,0.312963,0.031250,0.055556
frame_1.jpg,11,Turning right mand.,0.557813,0.603241,0.014583,0.023148
frame_1.jpg,0,Pedestrian stop,0.974740,0.582870,0.021354,0.039815
frame_1.jpg,7,Red light (Stop),0.958073,0.562037,0.024479,0.100000
frame_100.jpg,12,Speed 60 km/hr,0.894271,0.471296,0.017708,0.038889
frame_100.jpg,13,Passing right mand.,0.626823,0.502315,0.022396,0.054630
frame_100.jpg,1,Green light (Go),0.240885,0.286111,0.021354,0.092593
frame_1000.jpg,1,Green light (Go),0.210821,0.205469,0.119403,0.032813
frame_1000.jpg,1,Green light (Go),0.768190,0.340625,0.030784,0.053125
frame_1000.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1000_2.jpg,1,Green light (Go),0.210821,0.205469,0.119403,0.032813
frame_1000_2.jpg,1,Green light (Go),0.768190,0.340625,0.030784,0.053125
frame_1000_2.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1000_3.jpg,1,Green light (Go),0.210821,0.205469,0.119403,0.032813
frame_1000_3.jpg,1,Green light (Go),0.768190,0.340625,0.030784,0.053125
frame_1000_3.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1000_5.jpg,1,Green light (Go),0.210821,0.205469,0.119403,0.032813
frame_1000_5.jpg,1,Green light (Go),0.768190,0.340625,0.030784,0.053125
frame_1000_5.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1000_6.jpg,1,Green light (Go),0.210821,0.205469,0.119403,0.032813
frame_1000_6.jpg,1,Green light (Go),0.768190,0.340625,0.030784,0.053125
frame_1000_6.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1000_8.jpg,1,Green light (Go),0.210821,0.205469,0.119403,0.032813
frame_1000_8.jpg,1,Green light (Go),0.768190,0.340625,0.030784,0.053125
frame_1000_8.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1001.jpg,1,Green light (Go),0.214552,0.206510,0.119403,0.032813
frame_1001.jpg,1,Green light (Go),0.770056,0.339583,0.030784,0.053125
frame_1001.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1001_2.jpg,1,Green light (Go),0.214552,0.206510,0.119403,0.032813
frame_1001_2.jpg,1,Green light (Go),0.770056,0.339583,0.030784,0.053125
frame_1001_2.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1001_3.jpg,1,Green light (Go),0.214552,0.206510,0.119403,0.032813
frame_1001_3.jpg,1,Green light (Go),0.770056,0.339583,0.030784,0.053125
frame_1001_3.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1001_5.jpg,1,Green light (Go),0.214552,0.206510,0.119403,0.032813
frame_1001_5.jpg,1,Green light (Go),0.770056,0.339583,0.030784,0.053125
frame_1001_5.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1001_6.jpg,1,Green light (Go),0.214552,0.206510,0.119403,0.032813
frame_1001_6.jpg,1,Green light (Go),0.770056,0.339583,0.030784,0.053125
frame_1001_6.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1001_8.jpg,1,Green light (Go),0.214552,0.206510,0.119403,0.032813
frame_1001_8.jpg,1,Green light (Go),0.770056,0.339583,0.030784,0.053125
frame_1001_8.jpg,2,Pedestrian go,0.796175,0.355469,0.028918,0.024479
frame_1002.jpg,1,Green light (Go),0.215485,0.205469,0.119403,0.032813
frame_1002.jpg,1,Green light (Go),0.771922,0.340625,0.030784,0.053125
frame_1002.jpg,2,Pedestrian go,0.803638,0.355469,0.028918,0.024479
frame_1002_2.jpg,1,Green light (Go),0.215485,0.205469,0.119403,0.032813
frame_1002_2.jpg,1,Green light (Go),0.771922,0.340625,0.030784,0.053125
frame_1002_2.jpg,2,Pedestrian go,0.803638,0.355469,0.028918,0.024479
frame_1002_3.jpg,1,Green light (Go),0.215485,0.205469,0.119403,0.032813
frame_1002_3.jpg,1,Green light (Go),0.771922,0.340625,0.030784,0.053125
frame_1002_3.jpg,2,Pedestrian go,0.803638,0.355469,0.028918,0.024479
frame_1002_5.jpg,1,Green light (Go),0.215485,0.205469,0.119403,0.032813
frame_1002_5.jpg,1,Green light (Go),0.771922,0.340625,0.030784,0.053125
frame_1002_5.jpg,2,Pedestrian go,0.803638,0.355469,0.028918,0.024479
frame_1002_6.jpg,1,Green light (Go),0.215485,0.205469,0.119403,0.032813
frame_1002_6.jpg,1,Green light (Go),0.771922,0.340625,0.030784,0.053125
frame_1002_6.jpg,2,Pedestrian go,0.803638,0.355469,0.028918,0.024479
frame_1002_8.jpg,1,Green light (Go),0.215485,0.205469,0.119403,0.032813
frame_1002_8.jpg,1,Green light (Go),0.771922,0.340625,0.030784,0.053125
frame_1002_8.jpg,2,Pedestrian go,0.803638,0.355469,0.028918,0.024479
frame_1003.jpg,1,Green light (Go),0.222948,0.206510,0.119403,0.032813
frame_1003.jpg,1,Green light (Go),0.777519,0.342708,0.030784,0.053125
frame_1003.jpg,2,Pedestrian go,0.809235,0.357552,0.028918,0.024479
frame_1003_2.jpg,1,Green light (Go),0.222948,0.206510,0.119403,0.032813
frame_1003_2.jpg,1,Green light (Go),0.777519,0.342708,0.030784,0.053125
frame_1003_2.jpg,2,Pedestrian go,0.809235,0.357552,0.028918,0.024479
frame_1003_3.jpg,1,Green light (Go),0.222948,0.206510,0.119403,0.032813
frame_1003_3.jpg,1,Green light (Go),0.777519,0.342708,0.030784,0.053125
frame_1003_3.jpg,2,Pedestrian go,0.809235,0.357552,0.028918,0.024479
frame_1003_5.jpg,1,Green light (Go),0.222948,0.206510,0.119403,0.032813
frame_1003_5.jpg,1,Green light (Go),0.777519,0.342708,0.030784,0.053125
frame_1003_5.jpg,2,Pedestrian go,0.809235,0.357552,0.028918,0.024479
frame_1003_6.jpg,1,Green light (Go),0.222948,0.206510,0.119403,0.032813
frame_1003_6.jpg,1,Green light (Go),0.777519,0.342708,0.030784,0.053125
frame_1003_6.jpg,2,Pedestrian go,0.809235,0.357552,0.028918,0.024479
frame_1003_8.jpg,1,Green light (Go),0.222948,0.206510,0.119403,0.032813
frame_1003_8.jpg,1,Green light (Go),0.777519,0.342708,0.030784,0.053125
frame_1003_8.jpg,2,Pedestrian go,0.809235,0.357552,0.028918,0.024479
frame_1004.jpg,1,Green light (Go),0.230410,0.204427,0.119403,0.032813
frame_1004.jpg,1,Green light (Go),0.784981,0.340104,0.030784,0.053125
frame_1004.jpg,2,Pedestrian go,0.812966,0.356510,0.028918,0.024479
frame_1004_2.jpg,1,Green light (Go),0.230410,0.204427,0.119403,0.032813
frame_1004_2.jpg,1,Green light (Go),0.784981,0.340104,0.030784,0.053125
frame_1004_2.jpg,2,Pedestrian go,0.812966,0.356510,0.028918,0.024479
frame_1004_3.jpg,1,Green light (Go),0.230410,0.204427,0.119403,0.032813
frame_1004_3.jpg,1,Green light (Go),0.784981,0.340104,0.030784,0.053125
frame_1004_3.jpg,2,Pedestrian go,0.812966,0.356510,0.028918,0.024479
frame_1004_5.jpg,1,Green light (Go),0.230410,0.204427,0.119403,0.032813
frame_1004_5.jpg,1,Green light (Go),0.784981,0.340104,0.030784,0.053125
frame_1004_5.jpg,2,Pedestrian go,0.812966,0.356510,0.028918,0.024479
frame_1004_6.jpg,1,Green light (Go),0.230410,0.204427,0.119403,0.032813
frame_1004_6.jpg,1,Green light (Go),0.784981,0.340104,0.030784,0.053125
frame_1004_6.jpg,2,Pedestrian go,0.812966,0.356510,0.028918,0.024479
frame_1004_8.jpg,1,Green light (Go),0.230410,0.204427,0.119403,0.032813
frame_1004_8.jpg,1,Green light (Go),0.784981,0.340104,0.030784,0.053125
frame_1004_8.jpg,2,Pedestrian go,0.812966,0.356510,0.028918,0.024479
frame_1005.jpg,1,Green light (Go),0.226679,0.200260,0.119403,0.032813
frame_1005.jpg,1,Green light (Go),0.781250,0.335417,0.030784,0.053125
frame_1005.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1005_2.jpg,1,Green light (Go),0.226679,0.200260,0.119403,0.032813
frame_1005_2.jpg,1,Green light (Go),0.781250,0.335417,0.030784,0.053125
frame_1005_2.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1005_3.jpg,1,Green light (Go),0.226679,0.200260,0.119403,0.032813
frame_1005_3.jpg,1,Green light (Go),0.781250,0.335417,0.030784,0.053125
frame_1005_3.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1005_5.jpg,1,Green light (Go),0.226679,0.200260,0.119403,0.032813
frame_1005_5.jpg,1,Green light (Go),0.781250,0.335417,0.030784,0.053125
frame_1005_5.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1005_6.jpg,1,Green light (Go),0.226679,0.200260,0.119403,0.032813
frame_1005_6.jpg,1,Green light (Go),0.781250,0.335417,0.030784,0.053125
frame_1005_6.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1005_8.jpg,1,Green light (Go),0.226679,0.200260,0.119403,0.032813
frame_1005_8.jpg,1,Green light (Go),0.781250,0.335417,0.030784,0.053125
frame_1005_8.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1006.jpg,1,Green light (Go),0.222948,0.204427,0.119403,0.032813
frame_1006.jpg,1,Green light (Go),0.778918,0.338021,0.037313,0.055208
frame_1006.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1006_2.jpg,1,Green light (Go),0.222948,0.204427,0.119403,0.032813
frame_1006_2.jpg,1,Green light (Go),0.778918,0.338021,0.037313,0.055208
frame_1006_2.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1006_3.jpg,1,Green light (Go),0.222948,0.204427,0.119403,0.032813
frame_1006_3.jpg,1,Green light (Go),0.778918,0.338021,0.037313,0.055208
frame_1006_3.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1006_5.jpg,1,Green light (Go),0.222948,0.204427,0.119403,0.032813
frame_1006_5.jpg,1,Green light (Go),0.778918,0.338021,0.037313,0.055208
frame_1006_5.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1006_6.jpg,1,Green light (Go),0.222948,0.204427,0.119403,0.032813
frame_1006_6.jpg,1,Green light (Go),0.778918,0.338021,0.037313,0.055208
frame_1006_6.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1006_8.jpg,1,Green light (Go),0.222948,0.204427,0.119403,0.032813
frame_1006_8.jpg,1,Green light (Go),0.778918,0.338021,0.037313,0.055208
frame_1006_8.jpg,2,Pedestrian go,0.814832,0.351302,0.028918,0.024479
frame_1007.jpg,1,Green light (Go),0.221082,0.205469,0.119403,0.032813
frame_1007.jpg,1,Green light (Go),0.774720,0.341667,0.032649,0.056250
frame_1007.jpg,2,Pedestrian go,0.805504,0.357031,0.028918,0.019271
frame_1007_2.jpg,1,Green light (Go),0.221082,0.205469,0.119403,0.032813
frame_1007_2.jpg,1,Green light (Go),0.774720,0.341667,0.032649,0.056250
frame_1007_2.jpg,2,Pedestrian go,0.805504,0.357031,0.028918,0.019271
frame_1007_3.jpg,1,Green light (Go),0.221082,0.205469,0.119403,0.032813
frame_1007_3.jpg,1,Green light (Go),0.774720,0.341667,0.032649,0.056250
